Estado,Leche (miles de litros),Unnamed: 2_level_0,Unnamed: 3_level_0,Carne en canal (toneladas),Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Otros productos,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Año,Mes-Año
Ciudad de México,915.182,,915.182,42.055,134.119,17.044,,3.782,,197.0,5.38,,,,2024,Diciembre_2024Avance mensual de la producción pecuaria (2).xls.xlsx
Durango,125194.2,1925.82,127120.01,10116.45,328.305,35.969,75.004,21861.67,,32417.4,6093.67,,,,2024,Diciembre_2024Avance mensual de la producción pecuaria (2).xls.xlsx
Guanajuato,74885.81,3683.29,78569.1,5243.13,11847.18,203.68,117.218,18919.23,,36330.44,6012.66,,,,2024,Diciembre_2024Avance mensual de la producción pecuaria (2).xls.xlsx
Guerrero,7536.93,,7536.93,3587.17,1764.59,114.358,288.297,948.479,78.063,6780.96,741.66,279.343,6.261,,2024,Diciembre_2024Avance mensual de la producción pecuaria (2).xls.xlsx
Hidalgo,30421.46,5.004,30426.47,2557.41,1151.67,545.968,63.059,6789.62,64.272,11171.99,465.69,,,,2024,Diciembre_2024Avance mensual de la producción pecuaria (2).xls.xlsx
México,31440.42,,31440.42,3456.89,1857.44,757.114,40.004,8454.45,161.757,14727.65,1231.94,,,,2024,Diciembre_2024Avance mensual de la producción pecuaria (2).xls.xlsx
Michoacán,31933.0,348.017,32281.01,8536.61,4405.74,154.46,218.376,6062.92,10.955,19389.06,1708.43,,,,2024,Diciembre_2024Avance mensual de la producción pecuaria (2).xls.xlsx
Morelos,1827.14,,1827.14,594.402,432.663,61.453,58.222,5886.31,,7033.05,73.27,,,,2024,Diciembre_2024Avance mensual de la producción pecuaria (2).xls.xlsx
Nayarit,3243.19,,3243.19,1565.03,428.147,21.931,11.577,3356.3,,5382.98,2062.77,,,,2024,Diciembre_2024Avance mensual de la producción pecuaria (2).xls.xlsx
Nuevo León,1421.13,327.905,1749.04,6694.14,1691.35,130.881,149.201,6421.08,,15086.66,7624.33,,,,2024,Diciembre_2024Avance mensual de la producción pecuaria (2).xls.xlsx
Oaxaca,10382.47,,10382.47,4773.16,2062.34,185.87,226.067,953.796,39.854,8241.09,466.407,481.086,11.363,,2024,Diciembre_2024Avance mensual de la producción pecuaria (2).xls.xlsx
Querétaro,34405.4,236.738,34642.14,3129.9,2346.26,92.283,12.337,31561.1,5.358,37147.24,1677.69,,,,2024,Diciembre_2024Avance mensual de la producción pecuaria (2).xls.xlsx
Quintana Roo,508.626,1.053,509.679,337.238,293.957,37.657,2.023,514.614,8.292,1193.78,36.282,,,,2024,Diciembre_2024Avance mensual de la producción pecuaria (2).xls.xlsx
San Luis Potosí,12284.87,406.688,12691.56,10358.02,2176.45,225.692,347.994,8713.49,11.29,21832.93,9354.84,,,,2024,Diciembre_2024Avance mensual de la producción pecuaria (2).xls.xlsx
Sinaloa,8068.35,,8068.35,9311.37,1613.95,98.233,90.749,12945.79,,24060.09,5976.45,,,,2024,Diciembre_2024Avance mensual de la producción pecuaria (2).xls.xlsx
Tabasco,5672.69,,5672.69,4795.73,977.158,21.223,,1035.69,53.906,6883.71,88.701,,,,2024,Diciembre_2024Avance mensual de la producción pecuaria (2).xls.xlsx
Tamaulipas,1699.3,9.736,1709.04,3883.13,888.376,122.594,129.782,36.483,,5060.36,105.389,,,,2024,Diciembre_2024Avance mensual de la producción pecuaria (2).xls.xlsx
Tlaxcala,6500.77,146.109,6646.88,679.875,1070.06,261.491,23.656,61.812,27.143,2124.04,136.1,,,,2024,Diciembre_2024Avance mensual de la producción pecuaria (2).xls.xlsx
Veracruz,62552.33,209.941,62762.27,22261.85,12869.83,465.498,61.569,40855.38,103.339,76617.47,1433.28,54.578,1.642,,2024,Diciembre_2024Avance mensual de la producción pecuaria (2).xls.xlsx
Zacatecas,15898.44,492.451,16390.89,4083.5,867.982,345.708,427.325,254.432,2.098,5981.04,403.17,,,0.226,2024,Diciembre_2024Avance mensual de la producción pecuaria (2).xls.xlsx
Total nacional,1061506.09,13595.72,1075101.81,177482.45,143918.31,5379.17,3290.03,309286.98,1359.25,640716.19,251492.36,1937.9,37.287,8.535,2024,Diciembre_2024Avance mensual de la producción pecuaria (2).xls.xlsx
Región Lagunera,241595.33,4858.98,246454.3,9682.41,433.404,17.91,204.475,29726.89,,40065.09,9545.37,,,,2024,Diciembre_2024Avance mensual de la producción pecuaria (2).xls.xlsx
Delegación Coahuila,2562.05,807.239,3369.29,1769.92,116.403,43.677,162.34,159.407,,2251.74,1242.09,,,,2024,Diciembre_2024Avance mensual de la producción pecuaria (2).xls.xlsx
Delegación Durango,9547.42,,9547.42,2841.26,250.85,23.456,27.032,29.352,,3171.95,144.65,,,,2024,Diciembre_2024Avance mensual de la producción pecuaria (2).xls.xlsx
Laguna-Coahuila,125948.55,2933.16,128881.71,2407.23,355.949,5.397,156.503,7894.57,,10819.64,3596.36,,,,2024,Diciembre_2024Avance mensual de la producción pecuaria (2).xls.xlsx
Laguna-Durango,115646.78,1925.82,117572.59,7275.19,77.455,12.513,47.972,21832.32,,29245.45,5949.02,,,,2024,Diciembre_2024Avance mensual de la producción pecuaria (2).xls.xlsx
Jalisco,241043.32,900.55,241943.87,22700.52,44167.33,492.92,199.951,39667.34,,107228.05,142072.73,1589.48,34.198,,2025,Diciembre_2025Avance mensual de la producción pecuaria (1).xls.xlsx
Jalisco,250438.56,866.512,251305.07,23605.91,38750.0,442.98,167.992,42663.86,,105630.74,142002.41,1595.09,33.821,,2024,Enero_2024Avance mensual de la producción pecuaria.xls.xlsx
Jalisco,224410.51,850.228,225260.73,21291.33,34352.68,429.757,168.232,35168.27,,91410.27,140436.04,,,,2025,Enero_2025Avance mensual de la producción pecuaria.xls.xlsx
Jalisco,231540.04,880.504,232420.55,19966.61,40872.77,588.867,172.202,33755.87,,95356.31,140549.06,,,,2026,Enero_2026Avance mensual de la producción pecuaria.xls.xlsx
Jalisco,220443.34,842.271,221285.61,21178.24,32824.08,418.242,160.435,35129.26,,89710.25,136152.25,4.274,0.115,,2024,Diciembre_2024Avance mensual de la producción pecuaria (2).xls.xlsx
Jalisco,235303.08162202127,881.2586527853285,235495.60939147664,20663.890764020718,41485.71412509755,561.8220347635164,176.96188646656933,33953.018626152945,,94760.09392817205,138706.65352627102,,,,2026,Enero_2026Avance mensual de la producción pecuaria.xls.xlsx
Jalisco,216292.63607281438,876.5991421560204,224240.43034988482,21512.036366023083,33487.01769364571,433.10885455779317,157.8809315980493,34863.05752605594,,93335.96775227078,135642.15173046393,4.4575152977531305,0.11784750787202689,,2024,Diciembre_2024Avance mensual de la producción pecuaria (2).xls.xlsx
Jalisco,224860.85748672034,828.912123340479,226066.59314501996,21436.768101545465,35368.807091948416,438.5093390673581,175.4787166400939,36597.34807306956,,90023.1691269576,143911.42385665898,,,,2025,Enero_2025Avance mensual de la producción pecuaria.xls.xlsx
Jalisco,221473.03699907658,834.7228134968143,212219.31218432492,20317.714671500762,34104.23665402472,417.1618410625141,166.18519498419334,33763.42552672782,,89835.7500569899,129844.08756107614,4.3046072634794355,0.1119204459941884,,2024,Diciembre_2024Avance mensual de la producción pecuaria (2).xls.xlsx
Jalisco,213496.16635899286,863.7953313011792,228705.37172709868,20898.085352898543,32292.31400681074,401.4217355018996,159.2958156781911,35103.35253711607,,92254.90826862611,132781.62329555632,4.179963064630405,0.11959510759265754,,2024,Diciembre_2024Avance mensual de la producción pecuaria (2).xls.xlsx
Jalisco,262198.76979754923,843.0120355976476,246801.18216823266,23051.648822328174,38267.883941479784,442.60860003592546,172.20643324204292,40579.10603108469,,104537.91375382547,145032.02553681083,1638.0765482805127,33.428308499806334,,2024,Enero_2024Avance mensual de la producción pecuaria.xls.xlsx
Jalisco,230584.77972082078,814.2616474773914,218199.22308111837,20746.24990137664,32957.899150513265,428.61693077953436,172.51422567930143,35058.05489960227,,92526.2678231239,145986.1683265713,,,,2025,Enero_2025Avance mensual de la producción pecuaria.xls.xlsx
Jalisco,234273.328162088,832.3520798307966,214916.19731524796,22298.432381471743,34621.59326339965,415.7126216006919,161.55527347020066,33607.86538010633,,94722.64644547414,140600.03337280534,,,,2025,Enero_2025Avance mensual de la producción pecuaria.xls.xlsx
Jalisco,233270.85070714174,821.4240852619397,227308.1910734432,21063.720837812914,32758.517343021183,426.91422832215636,175.0042280596517,33827.718556015294,,95519.35015791135,140887.02907012592,,,,2025,Enero_2025Avance mensual de la producción pecuaria.xls.xlsx
Jalisco,222601.47983150446,878.4631871336231,225214.853812453,22008.52560367142,32711.158659502133,413.9970417123826,160.5192664373672,33785.65800798571,,86544.13737425143,130803.80854809358,4.277252675849736,0.1105943274681462,,2024,Diciembre_2024Avance mensual de la producción pecuaria (2).xls.xlsx
Jalisco,241308.1177252222,907.6341226687987,221185.05773227182,20228.44938012232,41047.07043461368,595.6890299689715,177.82366285786853,34259.542356089056,,99424.09218270633,139809.94575894118,,,,2026,Enero_2026Avance mensual de la producción pecuaria.xls.xlsx
Jalisco,215175.84925166474,861.5703609090344,225533.13911404286,21919.02247514354,33619.39199411623,435.5627442115926,165.20465844805818,36033.56727461238,,91338.20482217998,140894.10397365683,,,,2025,Enero_2025Avance mensual de la producción pecuaria.xls.xlsx
Jalisco,213741.48467744366,873.5580482757998,215233.35507770983,21183.82489906841,33122.2318211578,399.22470396550796,166.7805769163788,35422.12830249771,,87541.45436353965,132645.92796285017,4.321279006139554,0.11310141456855649,,2024,Diciembre_2024Avance mensual de la producción pecuaria (2).xls.xlsx
Jalisco,239049.2977107459,892.8255498698005,254953.3358255942,23787.44861791402,36930.688468513814,437.42558960272345,166.13067684139094,44635.66649039611,,105199.08796919072,138725.60826709986,1561.3746709167997,32.60098207695484,,2024,Enero_2024Avance mensual de la producción pecuaria.xls.xlsx
Jalisco,227495.73777981396,852.9063683129391,224852.15663308758,19951.67037105807,38981.78389286632,596.2784750986896,163.77852652602104,33333.48475492268,,99933.72350590205,138824.30044772415,,,,2026,Enero_2026Avance mensual de la producción pecuaria.xls.xlsx
Jalisco,247650.61007345366,900.5277082899547,256103.4321639482,22886.503339809173,40000.07717255618,443.11892998258077,174.8020928982625,41749.62504494372,,105552.76438058565,135187.3053456024,1539.9577423506726,34.22709806782582,,2024,Enero_2024Avance mensual de la producción pecuaria.xls.xlsx
Jalisco,226245.8545670889,883.9681001375698,229788.04668916113,20410.771462910157,40301.3304242555,609.8595103311044,165.16387483159255,35000.10842532768,,93723.34854635748,138048.39939683,,,,2026,Enero_2026Avance mensual de la producción pecuaria.xls.xlsx
Jalisco,227690.1394500732,868.165792693019,230949.81619629014,20713.954447713946,31599.94044321265,424.8792341875571,157.5361583446818,34158.27263462679,,90906.9923990967,132223.54969105954,4.287928723472548,0.11952976470508603,,2024,Diciembre_2024Avance mensual de la producción pecuaria (2).xls.xlsx
Jalisco,237590.45462872673,936.2200020146101,233173.91144327354,21620.692508229655,44265.57254071163,476.30536377969787,208.95003403737755,41504.82059676541,,104441.68214176291,139621.9377891688,1518.243247530851,35.18494474294565,,2025,Diciembre_2025Avance mensual de la producción pecuaria (1).xls.xlsx
Jalisco,226467.79676103964,864.4791331726626,228726.6053897594,20257.0688598183,41976.30843972823,563.5792106575449,179.9615451916941,32109.104986754774,,91311.89920327615,135204.85250507918,,,,2026,Enero_2026Avance mensual de la producción pecuaria.xls.xlsx
Jalisco,251507.83455837923,832.7225313226326,241591.46361985127,22843.700375812165,37648.806481550266,449.2888891859834,169.2256977701607,44668.5444479619,,101710.56903964162,147547.9915035812,1536.7758507038586,33.18422520549132,,2024,Enero_2024Avance mensual de la producción pecuaria.xls.xlsx
Jalisco,212527.7536840348,819.3557677289364,230683.46863838786,22111.053760948627,33227.45668095209,398.4387143543549,162.55013031344618,33524.41457684889,,86373.43992243614,137426.5323134404,4.087386462380061,0.11210762510786636,,2024,Diciembre_2024Avance mensual de la producción pecuaria (2).xls.xlsx
Jalisco,238537.11010116697,874.0858116316573,241190.6920049452,20872.951486486563,39177.970230677325,593.9180409217761,171.31422157757106,35076.20760973873,,92036.98253323932,143066.3262599578,,,,2026,Enero_2026Avance mensual de la producción pecuaria.xls.xlsx
Jalisco,230788.1474660709,929.1888197451501,236087.4160643504,23642.28373874871,42187.22786338219,514.619829060319,195.81622870117997,39777.22293125033,,103355.26420102097,146181.0647306426,1561.2434989510423,32.60277422030941,,2025,Diciembre_2025Avance mensual de la producción pecuaria (1).xls.xlsx
Jalisco,252779.40436628181,933.0355926751499,245814.58592357673,22405.773497832273,44305.81503594988,496.6402731758578,196.52513045112602,41622.8002175695,,108738.62241794963,142050.59789490543,1638.7339234197025,34.437008744322924,,2025,Diciembre_2025Avance mensual de la producción pecuaria (1).xls.xlsx
Jalisco,230519.96875226952,808.3076896037272,232406.50043895326,20259.672692319957,34492.27253294331,424.9510242976736,171.13431249027522,33669.38625136869,,88502.32726225487,134634.91210546572,,,,2025,Enero_2025Avance mensual de la producción pecuaria.xls.xlsx
Jalisco,217649.37324380814,851.1417657575918,226504.18751174875,22203.277186118095,34824.78854285994,435.914911489313,172.47774718363598,35357.666201448235,,89999.51046988009,140957.14957910913,,,,2025,Enero_2025Avance mensual de la producción pecuaria.xls.xlsx
Jalisco,238054.9271060586,859.3555643160455,252050.20406692967,23436.382146860517,39626.103918175315,441.13068654299326,172.89029467135927,44666.085767729826,,109822.04533617955,143235.57480460595,1636.5986857031442,33.28690468233207,,2024,Enero_2024Avance mensual de la producción pecuaria.xls.xlsx
Jalisco,238844.235176289,856.035481555072,226420.66674698427,20898.361477646555,42817.70925978939,591.5532221874106,177.18928234255077,33833.83878250878,,95108.0178097015,143998.68873835017,,,,2026,Enero_2026Avance mensual de la producción pecuaria.xls.xlsx
Jalisco,236329.6157668771,847.0329935398777,222963.4221499969,20892.30192707501,40939.39403870346,614.8634057549806,165.16248733571905,34192.6663607071,,96954.078765731,139588.5413462608,,,,2026,Enero_2026Avance mensual de la producción pecuaria.xls.xlsx
Jalisco,229549.67153737336,836.4215871952163,234208.44116040698,22042.93408094759,33744.488036887924,424.86218113133475,168.13813167007245,35856.68427463571,,88414.93709529063,135205.92525066098,,,,2025,Enero_2025Avance mensual de la producción pecuaria.xls.xlsx
Jalisco,237821.03469224778,919.5023765933789,241727.08850758325,19556.194119288553,42079.27774459564,616.0249903747297,164.5830733592386,33602.419409196256,,92422.09162871154,137510.0506810659,,,,2026,Enero_2026Avance mensual de la producción pecuaria.xls.xlsx
Jalisco,221677.46816242975,864.9369474456003,235514.10139052544,19737.18911588805,39936.09793144169,612.7367616476741,173.05489725939117,34186.45339687672,,90978.20254419773,138624.69454614696,,,,2026,Enero_2026Avance mensual de la producción pecuaria.xls.xlsx
Jalisco,237631.73093145303,902.2421894410987,238049.2944691614,23497.618503450183,43897.783059887464,477.924936616034,198.7818965280108,40001.79244779196,,103678.10523898552,144145.81608300496,1642.031293629044,35.21469069189292,,2025,Diciembre_2025Avance mensual de la producción pecuaria (1).xls.xlsx
Jalisco,215790.2079741255,867.4892403383529,221864.01387002374,20901.5325996044,32904.56469622088,411.25000045802085,174.7544250073794,36579.073322560995,,89386.35831103029,141430.02248256156,,,,2025,Enero_2025Avance mensual de la producción pecuaria.xls.xlsx
Jalisco,228447.71319654587,830.784916882561,226285.6840231765,20478.28380675773,31266.087482992847,401.5448592852097,158.04315500387926,33532.446771107396,,86812.7029797088,134192.9745448625,4.113424633317721,0.11188639104517538,,2024,Diciembre_2024Avance mensual de la producción pecuaria (2).xls.xlsx
Jalisco,227177.4495523417,890.3402336627678,234206.06470474074,21412.267442341737,35942.00129419381,409.0522457126533,161.78984183076489,34397.95543116407,,87650.58875604166,147268.4674940101,,,,2025,Enero_2025Avance mensual de la producción pecuaria.xls.xlsx
Jalisco,216715.5995797921,881.2215945558187,229851.2755516225,22101.939048432287,33926.90383541024,401.2799012792481,154.7073370510147,36711.52221311113,,86306.96491554026,137592.3979648784,4.461346711245311,0.11753042017027987,,2024,Diciembre_2024Avance mensual de la producción pecuaria (2).xls.xlsx
Jalisco,230523.1855766666,878.1967546505531,248715.2872683156,23145.517832001617,45032.89574320284,501.9407698752391,205.179931232254,41215.41262052875,,106807.48837775514,138339.43929310743,1538.8126334008994,34.68069667494114,,2025,Diciembre_2025Avance mensual de la producción pecuaria (1).xls.xlsx
Jalisco,245704.82848359272,866.2735797337822,254874.39727790188,23771.295767562427,38397.192659605294,423.9845147494912,169.97796888926254,42474.67459089043,,102528.72133621555,136347.62514078565,1525.9422531114071,34.47695303403218,,2024,Enero_2024Avance mensual de la producción pecuaria.xls.xlsx
Jalisco,227492.3339389406,862.9712555306905,222755.10819411298,19162.308015228835,39537.4333886562,578.2070722484196,165.33325270736967,34161.3880354151,,94062.03747937571,135670.0278324767,,,,2026,Enero_2026Avance mensual de la producción pecuaria.xls.xlsx
Jalisco,246577.82355191192,881.1738107211628,233757.18415911743,22961.592384982905,42649.90414878779,509.9195938283064,191.63517399894997,38784.27036949148,,107264.69272900882,138463.48209361857,1601.3173523937205,33.34920242165,,2025,Diciembre_2025Avance mensual de la producción pecuaria (1).xls.xlsx
Jalisco,234725.04624198852,839.7267104693456,241683.76837022675,20945.08141040303,39851.94354208149,560.7940574980948,175.66272863755236,32703.095841188457,,97171.84483011786,135779.96859711397,,,,2026,Enero_2026Avance mensual de la producción pecuaria.xls.xlsx
Jalisco,260135.86016644657,876.0058810165588,253979.68622877874,22756.295565611203,38940.75332573622,456.91032484172473,160.81476029651336,42508.98338305827,,100764.46004223988,137551.58620418134,1537.6304520232827,32.7441316379941,,2024,Enero_2024Avance mensual de la producción pecuaria.xls.xlsx
Jalisco,249742.71458680663,866.7441405776087,238970.94307003106,23649.178812402966,39581.55920046274,433.3166028129121,173.39899150803058,42038.20399871916,,108793.43420004575,138950.7096033883,1642.187793647459,35.20242064348646,,2024,Enero_2024Avance mensual de la producción pecuaria.xls.xlsx
Jalisco,231873.89340938648,860.1584189438177,232301.71827758785,23557.1764966762,44874.87904026264,474.09858068312667,204.07483395621685,39999.18154318665,,108599.50093593505,137432.2594993441,1542.054259266949,34.48318325974118,,2025,Diciembre_2025Avance mensual de la producción pecuaria (1).xls.xlsx
Jalisco,255779.0317439633,847.3314505018594,255413.9523530824,24174.26623215302,37897.24385066553,451.6950629513012,160.9589944357594,40862.31296686249,,101212.82970464429,147636.5746501626,1541.4400957905655,33.485669576636305,,2024,Enero_2024Avance mensual de la producción pecuaria.xls.xlsx
Jalisco,226192.17271391713,876.658051603902,210333.33506689765,21595.484664657564,34317.13343617112,423.6349314122913,153.77434386592577,36795.77385411548,,93061.63317632751,130437.03799977602,4.130507202035706,0.11456306674190753,,2024,Diciembre_2024Avance mensual de la producción pecuaria (2).xls.xlsx
Jalisco,251973.177312014,843.9447253005619,242781.00436180382,24083.892106303214,39671.8505521961,459.70125525522144,176.16715560715693,44738.22271329736,,110076.44631137518,142350.4776391425,1645.2674990493874,35.333756982901114,,2024,Enero_2024Avance mensual de la producción pecuaria.xls.xlsx
Jalisco,237814.01516853666,849.236851445581,233553.2234128166,19686.061461485588,41094.93006868663,602.7095580351662,170.03691795707954,34424.78210574277,,91170.91138740879,139289.69582603796,,,,2026,Enero_2026Avance mensual de la producción pecuaria.xls.xlsx
Jalisco,231396.3832134035,879.5753113235436,236880.58873900943,19554.482885360987,41329.4036365065,606.7379905032935,169.97443190092127,33877.716424978455,,93228.69758487956,147328.8461170605,,,,2026,Enero_2026Avance mensual de la producción pecuaria.xls.xlsx
Jalisco,232066.39602244203,923.2657167446201,235952.44195122868,20584.299354058887,40544.15318435967,576.0317352646347,177.58847110808765,33112.91389767712,,98276.13241583439,135096.30323831516,,,,2026,Enero_2026Avance mensual de la producción pecuaria.xls.xlsx
Jalisco,229862.32444923796,857.7918634786962,226012.00212529433,20585.801320733528,39841.67667557532,569.8724791826934,179.90370995226553,34815.112389187525,,97723.62279967281,139113.43004616158,,,,2026,Enero_2026Avance mensual de la producción pecuaria.xls.xlsx
Jalisco,209981.52071993516,856.7694779649096,225980.83084252145,21955.634566024593,32351.32356818633,428.7237614955776,168.23215806744224,35778.20693907501,,86880.08017767154,142544.19557989165,4.228031038912434,0.10945826711393968,,2024,Diciembre_2024Avance mensual de la producción pecuaria (2).xls.xlsx
Jalisco,215611.1815156195,872.4716322301705,219341.9837641363,22171.174097386218,35238.45049220272,442.94343770432823,172.49463188624821,33981.75214294547,,88753.4243170526,145569.07733523322,,,,2025,Enero_2025Avance mensual de la producción pecuaria.xls.xlsx
Jalisco,229748.73352628268,876.9229490242354,237719.5227269485,22726.26783521907,42022.53569621617,517.0979794594973,197.4767980386492,41297.378834256,,105839.14761617195,146577.4594726518,1579.805615447419,35.67575810243746,,2025,Diciembre_2025Avance mensual de la producción pecuaria (1).xls.xlsx
Jalisco,234698.48720804323,900.5985407818138,238149.51679478036,19969.637526466442,39303.55253387318,583.72134335498,165.02979904169442,34844.62252422729,,95208.72689780004,137146.40699125087,,,,2026,Enero_2026Avance mensual de la producción pecuaria.xls.xlsx
Jalisco,245789.31792281425,855.0552497898825,255065.42061693632,24310.062914812355,36990.76023783429,437.31065716444874,172.6478464700482,44582.88005286988,,106879.8739025276,137328.9344248475,1589.137089932373,34.486092751434036,,2024,Enero_2024Avance mensual de la producción pecuaria.xls.xlsx
Puebla,39863.66,167.458,40031.11,3587.11,19261.09,475.069,329.752,19626.23,269.409,43548.66,41042.9,319.256,8.166,29.768,2025,Diciembre_2025Avance mensual de la producción pecuaria (1).xls.xlsx
Puebla,38651.68,168.109,38819.79,3536.68,18810.28,398.238,285.706,21572.82,227.756,44831.48,40384.36,358.129,7.384,28.677,2024,Enero_2024Avance mensual de la producción pecuaria.xls.xlsx
Puebla,38395.04,152.542,38547.58,3561.3,15127.18,355.927,304.659,16485.42,205.188,36039.67,38501.56,,,,2025,Enero_2025Avance mensual de la producción pecuaria.xls.xlsx
Puebla,39029.78,164.889,39194.67,3595.98,16275.98,366.484,313.113,16726.92,213.854,37492.33,40477.25,26.42,0.484,,2026,Enero_2026Avance mensual de la producción pecuaria.xls.xlsx
Puebla,37136.52,154.128,37290.65,3471.25,14658.27,348.891,309.039,16085.13,207.235,35079.81,37056.18,,,,2024,Diciembre_2024Avance mensual de la producción pecuaria (2).xls.xlsx
Puebla,37471.34531035318,150.34040275149962,40183.524629297244,3721.5446764401936,15658.457020606027,360.2307097492425,313.69327545315105,16982.83141752004,209.97119948433465,36065.74401176428,39648.18900703497,,,,2025,Enero_2025Avance mensual de la producción pecuaria.xls.xlsx
Puebla,38186.670945891055,171.79135880746185,40648.42821550881,3637.9510685583195,18801.15048141604,380.14772160614274,285.1780824961245,21226.46879026913,219.3647329693844,42776.28327990605,40124.21733953988,346.7100335399506,7.091674565105269,27.34684712323086,2024,Enero_2024Avance mensual de la producción pecuaria.xls.xlsx
Puebla,40223.60868881299,164.06064082548255,41809.55806950137,3439.8272100504328,19223.697631868054,492.7195618962004,317.13266099267275,20244.113009216522,275.2235187910037,42017.24176220097,42347.38379510498,325.0382961585444,8.34919507806733,29.181952489978055,2025,Diciembre_2025Avance mensual de la producción pecuaria (1).xls.xlsx
Puebla,37504.519421193996,153.55494966401693,38448.182045374095,3531.9480416802867,15266.966919194578,372.77975083324037,293.23994782666364,15793.221689088683,213.58085648503416,37793.468904349626,37039.305615789475,,,,2025,Enero_2025Avance mensual de la producción pecuaria.xls.xlsx
Puebla,39131.53638585342,167.70638570632886,40225.23196824484,3670.7620135988955,19421.013987972252,416.9104979333263,291.0077115953041,22424.55086541957,220.46059061438507,46916.675953689875,40564.02637481262,359.03017374293006,7.217240236187761,28.275913175706076,2024,Enero_2024Avance mensual de la producción pecuaria.xls.xlsx
Puebla,38301.54081687671,170.86045959379496,40157.32352957578,3693.9674848597583,18524.004858721844,408.1800846169639,283.7147976008146,21675.49017641368,221.77839175113627,42612.05266564614,38388.39798186739,365.6155528664393,7.073443262061468,27.49448310489466,2024,Enero_2024Avance mensual de la producción pecuaria.xls.xlsx
Puebla,39232.91900182729,172.09184188875201,38485.64027456132,3584.2576486424305,16565.718733872825,352.92725256280346,303.73603987513224,17257.661441434102,223.9349726441181,39186.27765569773,39767.221678333066,25.381368830816314,0.4639458592804672,,2026,Enero_2026Avance mensual de la producción pecuaria.xls.xlsx
