Fecha,Producto,Precio Frecuente,Estado
03/01/2024,Huevo blanco,31.0,JAL
03/01/2024,Huevo blanco,31.5,JAL
03/01/2024,Huevo blanco,32.0,JAL
10/01/2024,Huevo blanco,30.0,JAL
17/01/2024,Huevo blanco,32.0,JAL
24/01/2024,Huevo blanco,38.0,JAL
04/12/2024,Huevo blanco,30.0,JAL
11/12/2024,Huevo blanco,28.5,JAL
18/12/2024,Huevo blanco,29.0,JAL
25/12/2024,Huevo blanco,31.0,JAL
03/12/2025,Huevo blanco,29.0,JAL
03/12/2025,Huevo blanco,29.5,JAL
03/12/2025,Huevo blanco,30.0,JAL
03/12/2025,Huevo clasificado blanco,29.0,JAL
03/12/2025,Huevo clasificado blanco,30.0,JAL
10/12/2025,Huevo blanco,28.0,JAL
10/12/2025,Huevo blanco,28.5,JAL
10/12/2025,Huevo blanco,29.0,JAL
10/12/2025,Huevo clasificado blanco,27.0,JAL
10/12/2025,Huevo clasificado blanco,28.0,JAL
17/12/2025,Huevo blanco,27.5,JAL
17/12/2025,Huevo blanco,28.0,JAL
17/12/2025,Huevo blanco,28.5,JAL
17/12/2025,Huevo clasificado blanco,26.0,JAL
17/12/2025,Huevo clasificado blanco,27.0,JAL
24/12/2025,Huevo blanco,26.0,JAL
24/12/2025,Huevo blanco,26.5,JAL
24/12/2025,Huevo blanco,27.0,JAL
24/12/2025,Huevo clasificado blanco,25.0,JAL
24/12/2025,Huevo clasificado blanco,26.0,JAL
31/12/2025,Huevo blanco,25.0,JAL
31/12/2025,Huevo blanco,25.5,JAL
31/12/2025,Huevo blanco,26.0,JAL
31/12/2025,Huevo clasificado blanco,25.0,JAL
31/12/2025,Huevo clasificado blanco,26.0,JAL
08/01/2025,Huevo blanco,31.5,JAL
08/01/2025,Huevo blanco,32.0,JAL
08/01/2025,Huevo blanco,32.5,JAL
08/01/2025,Huevo clasificado blanco,31.0,JAL
08/01/2025,Huevo clasificado blanco,32.0,JAL
15/01/2025,Huevo blanco,30.0,JAL
15/01/2025,Huevo blanco,30.5,JAL
15/01/2025,Huevo blanco,31.0,JAL
15/01/2025,Huevo clasificado blanco,29.0,JAL
15/01/2025,Huevo clasificado blanco,30.0,JAL
22/01/2025,Huevo blanco,31.5,JAL
22/01/2025,Huevo blanco,32.0,JAL
22/01/2025,Huevo blanco,32.5,JAL
22/01/2025,Huevo clasificado blanco,30.0,JAL
22/01/2025,Huevo clasificado blanco,31.0,JAL
29/01/2025,Huevo clasificado blanco,38.0,JAL
07/01/2026,Huevo clasificado blanco,23.0,JAL
07/01/2026,Huevo clasificado blanco,24.0,JAL
14/01/2026,Huevo blanco,22.0,JAL
14/01/2026,Huevo blanco,22.5,JAL
14/01/2026,Huevo blanco,23.0,JAL
14/01/2026,Huevo clasificado blanco,22.0,JAL
14/01/2026,Huevo clasificado blanco,23.0,JAL
21/01/2026,Huevo blanco,24.0,JAL
21/01/2026,Huevo blanco,24.5,JAL
21/01/2026,Huevo blanco,25.0,JAL
28/01/2026,Huevo blanco,26.5,JAL
28/01/2026,Huevo blanco,27.0,JAL
28/01/2026,Huevo blanco,27.5,JAL
28/01/2026,Huevo clasificado blanco,26.0,JAL
28/01/2026,Huevo clasificado blanco,27.0,JAL
03/01/2024,Huevo blanco,34.0,PUE
10/01/2024,Huevo blanco,33.0,PUE
17/01/2024,Huevo blanco,35.0,PUE
24/01/2024,Huevo blanco,40.0,PUE
04/12/2024,Huevo blanco,32.5,PUE
11/12/2024,Huevo blanco,31.0,PUE
18/12/2024,Huevo blanco,33.0,PUE
25/12/2024,Huevo blanco,33.0,PUE
03/12/2025,Huevo blanco,32.0,PUE
03/12/2025,Huevo rojo,50.0,PUE
10/12/2025,Huevo blanco,32.0,PUE
10/12/2025,Huevo rojo,45.0,PUE
17/12/2025,Huevo blanco,31.0,PUE
17/12/2025,Huevo rojo,42.0,PUE
24/12/2025,Huevo blanco,32.0,PUE
24/12/2025,Huevo rojo,44.0,PUE
31/12/2025,Huevo blanco,30.0,PUE
31/12/2025,Huevo rojo,42.0,PUE
08/01/2025,Huevo blanco,33.5,PUE
15/01/2025,Huevo blanco,30.0,PUE
15/01/2025,Huevo rojo,42.0,PUE
22/01/2025,Huevo blanco,33.0,PUE
29/01/2025,Huevo blanco,41.0,PUE
29/01/2025,Huevo rojo,50.0,PUE
07/01/2026,Huevo blanco,26.0,PUE
07/01/2026,Huevo rojo,36.0,PUE
14/01/2026,Huevo blanco,26.0,PUE
14/01/2026,Huevo rojo,44.0,PUE
21/01/2026,Huevo blanco,28.0,PUE
21/01/2026,Huevo rojo,44.0,PUE
28/01/2026,Huevo blanco,44.0,PUE
28/01/2026,Huevo rojo,29.0,PUE
03/01/2024,Huevo blanco,31.0,SLP
10/01/2024,Huevo blanco,32.0,SLP
17/01/2024,Huevo blanco,34.0,SLP
24/01/2024,Huevo blanco,39.0,SLP
04/12/2024,Huevo blanco,30.0,SLP
11/12/2024,Huevo blanco,28.5,SLP
18/12/2024,Huevo blanco,29.5,SLP
25/12/2024,Huevo blanco,30.0,SLP
03/12/2025,Huevo blanco,30.0,SLP
03/12/2025,Huevo blanco,31.0,SLP
10/12/2025,Huevo blanco,29.0,SLP
10/12/2025,Huevo blanco,30.0,SLP
17/12/2025,Huevo blanco,30.0,SLP
17/12/2025,Huevo blanco,31.0,SLP
24/12/2025,Huevo blanco,25.0,SLP
24/12/2025,Huevo blanco,26.0,SLP
31/12/2025,Huevo blanco,25.0,SLP
31/12/2025,Huevo blanco,26.0,SLP
08/01/2025,Huevo blanco,30.0,SLP
08/01/2025,Huevo blanco,31.0,SLP
15/01/2025,Huevo blanco,32.5,SLP
15/01/2025,Huevo blanco,33.5,SLP
22/01/2025,Huevo blanco,34.5,SLP
22/01/2025,Huevo blanco,35.5,SLP
29/01/2025,Huevo blanco,39.0,SLP
07/01/2026,Huevo blanco,29.0,SLP
07/01/2026,Huevo blanco,30.0,SLP
14/01/2026,Huevo blanco,21.0,SLP
14/01/2026,Huevo blanco,22.0,SLP
21/01/2026,Huevo blanco,24.0,SLP
21/01/2026,Huevo blanco,25.0,SLP
28/01/2026,Huevo blanco,27.0,SLP
28/01/2026,Huevo blanco,28.0,SLP
03/01/2024,Huevo blanco,44.0,SON
03/01/2024,Huevo blanco,45.55,SON
04/12/2024,Huevo blanco,42.66,SON
04/12/2024,Huevo blanco,39.77,SON
03/12/2025,Huevo blanco,42.66,SON
10/12/2025,Huevo blanco,42.66,SON
17/12/2025,Huevo blanco,42.66,SON
24/12/2025,Huevo blanco,42.66,SON
08/01/2025,Huevo blanco,44.0,SON
15/01/2025,Huevo blanco,44.0,SON
22/01/2025,Huevo blanco,44.0,SON
29/01/2025,Huevo blanco,44.0,SON
03/12/2025,Huevo blanco,39.77,SON
03/12/2025,Huevo blanco,41.77,SON
10/12/2025,Huevo blanco,39.77,SON
10/12/2025,Huevo blanco,41.77,SON
17/12/2025,Huevo blanco,39.77,SON
17/12/2025,Huevo blanco,41.77,SON
24/12/2025,Huevo blanco,36.88,SON
24/12/2025,Huevo blanco,41.77,SON
31/12/2025,Huevo blanco,33.33,SON
31/12/2025,Huevo blanco,41.77,SON
08/01/2025,Huevo blanco,45.55,SON
08/01/2025,Huevo blanco,48.88,SON
15/01/2025,Huevo blanco,45.55,SON
15/01/2025,Huevo blanco,48.88,SON
22/01/2025,Huevo blanco,45.55,SON
22/01/2025,Huevo blanco,46.22,SON
29/01/2025,Huevo blanco,45.55,SON
29/01/2025,Huevo blanco,46.22,SON
07/01/2026,Huevo blanco,42.66,SON
14/01/2026,Huevo blanco,42.66,SON
21/01/2026,Huevo blanco,31.11,SON
28/01/2026,Huevo blanco,31.11,SON
07/01/2026,Huevo blanco,33.33,SON
07/01/2026,Huevo blanco,35.77,SON
14/01/2026,Huevo blanco,27.78,SON
14/01/2026,Huevo blanco,33.33,SON
21/01/2026,Huevo blanco,27.78,SON
21/01/2026,Huevo blanco,33.33,SON
28/01/2026,Huevo blanco,32.66,SON
28/01/2026,Huevo blanco,34.66,SON
03/01/2024,Huevo blanco,35.0,YUC
10/01/2024,Huevo blanco,34.0,YUC
17/01/2024,Huevo blanco,35.0,YUC
24/01/2024,Huevo blanco,40.0,YUC
31/01/2024,Huevo blanco,44.0,YUC
04/12/2024,Huevo blanco,34.0,YUC
11/12/2024,Huevo blanco,33.0,YUC
18/12/2024,Huevo blanco,32.0,YUC
25/12/2024,Huevo blanco,32.0,YUC
03/12/2025,Huevo blanco,33.0,YUC
03/12/2025,Huevo blanco,34.0,YUC
03/12/2025,Huevo blanco,45.0,YUC
10/12/2025,Huevo blanco,32.0,YUC
10/12/2025,Huevo blanco,33.0,YUC
10/12/2025,Huevo blanco,45.0,YUC
17/12/2025,Huevo blanco,30.0,YUC
17/12/2025,Huevo blanco,32.0,YUC
17/12/2025,Huevo blanco,45.0,YUC
24/12/2025,Huevo blanco,30.0,YUC
24/12/2025,Huevo blanco,32.0,YUC
24/12/2025,Huevo blanco,45.0,YUC
31/12/2025,Huevo blanco,30.0,YUC
31/12/2025,Huevo blanco,32.0,YUC
31/12/2025,Huevo blanco,45.0,YUC
08/01/2025,Huevo blanco,32.0,YUC
08/01/2025,Huevo blanco,34.0,YUC
08/01/2025,Huevo blanco,45.0,YUC
15/01/2025,Huevo blanco,32.0,YUC
15/01/2025,Huevo blanco,34.0,YUC
15/01/2025,Huevo blanco,44.0,YUC
22/01/2025,Huevo blanco,32.0,YUC
22/01/2025,Huevo blanco,34.0,YUC
22/01/2025,Huevo blanco,45.0,YUC
29/01/2025,Huevo blanco,32.0,YUC
29/01/2025,Huevo blanco,34.0,YUC
29/01/2025,Huevo blanco,45.0,YUC
14/01/2026,Huevo blanco,30.0,YUC
14/01/2026,Huevo blanco,32.0,YUC
14/01/2026,Huevo blanco,45.0,YUC
21/01/2026,Huevo blanco,28.0,YUC
21/01/2026,Huevo blanco,32.0,YUC
21/01/2026,Huevo blanco,42.0,YUC
28/01/2026,Huevo blanco,30.0,YUC
28/01/2026,Huevo blanco,32.0,YUC
28/01/2026,Huevo blanco,45.0,YUC
